step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
15,0,0,15,1,14,0.0,1.5,,0.0,0.0,0.0
29,1,0,29,2,13,0.0,1.4969999999999999,,0.0,0.0,0.0
43,2,0,43,3,13,0.0,1.494006,,0.0,0.0,0.0
96,3,0,96,4,52,0.10000000149011612,1.4910179879999998,0.40038,0.0,0.0,0.00011449554267528583
110,4,0,110,5,13,0.0,1.4880359520239999,0.400436,0.0,0.0,0.00010468021386971131
125,5,0,125,6,14,0.0,1.485059880119952,,0.0,0.0,9.511133854781899e-05
139,6,0,139,7,13,0.0,1.482089760359712,,0.0,0.0,8.707153107467536e-05
153,7,0,153,8,13,0.0,1.4791255808389927,,0.0,0.0,7.943796043202218e-05
167,8,0,167,9,13,0.0,1.4761673296773148,,0.0,0.0,7.28652677364652e-05
181,9,0,181,10,13,0.0,1.47321499501796,,0.0,0.0,6.692759494587241e-05
196,10,0,196,11,14,0.0,1.4702685650279241,0.40078,0.0,0.0,6.148581660730115e-05
210,11,0,210,12,13,0.0,1.4673280278978682,0.400836,0.0,0.0,5.7455391993555594e-05
224,12,0,224,13,13,0.0,1.4643933718420725,0.400892,0.0,0.0,5.467375641501349e-05
238,13,0,238,14,13,0.0,1.4614645850983883,0.400948,0.0,0.0,5.204682121524686e-05
252,14,0,252,15,13,0.0,1.4585416559281914,0.401004,0.0,0.0,4.9399955601752194e-05
267,15,0,267,16,14,0.0,1.455624572616335,,0.0,0.0,4.5577436922030756e-05
281,16,0,281,17,13,0.0,1.4527133234711023,,0.0,0.0,3.912251180736348e-05
295,17,0,295,18,13,0.0,1.4498078968241601,,0.0,0.0,3.34209622360504e-05
309,18,0,309,19,13,0.0,1.4469082810305118,,0.0,0.0,2.8844375474363915e-05
323,19,0,323,20,13,0.0,1.4440144644684507,,0.0,0.0,2.5453329435549676e-05
338,20,0,338,21,14,0.0,1.441126435539514,0.40134800000000004,0.0,0.0,2.2343589489537407e-05
352,21,0,352,22,13,0.0,1.438244182668435,0.40140400000000004,0.0,0.0,2.064073391011334e-05
366,22,0,366,23,13,0.0,1.435367694303098,0.40146000000000004,0.0,0.0,1.947382897924399e-05
380,23,0,380,24,13,0.0,1.4324969589144918,0.40151600000000004,0.0,0.0,1.8637832754393456e-05
394,24,0,394,25,13,0.0,1.429631964996663,0.40157200000000004,0.0,0.0,1.7715057133500522e-05
409,25,0,409,26,14,0.0,1.4267727010666695,,0.0,0.0,1.7186180252792836e-05
423,26,0,423,27,13,0.0,1.423919155664536,,0.0,0.0,1.619678585939255e-05
437,27,0,437,28,13,0.0,1.421071317353207,,0.0,0.0,1.539746955586452e-05
451,28,0,451,29,13,0.0,1.4182291747185005,,0.0,0.0,1.5119073568712337e-05
465,29,0,465,30,13,0.0,1.4153927163690636,,0.0,0.0,1.4487254065898015e-05
480,30,0,480,31,14,0.0,1.4125619309363255,0.401916,0.0,0.0,1.3309693558767322e-05
494,31,0,494,32,13,0.0,1.409736807074453,0.401972,0.0,0.0,1.267967825242522e-05
